protected_attribute,age,income,credit_score,employment_years,education_level,label
1,22,35000,620,1,2,0
0,27,45000,650,3,3,0
1,32,55000,670,5,4,1
0,37,65000,690,7,4,1
1,42,75000,710,10,5,1
0,47,85000,730,12,5,1
1,52,95000,750,15,5,1
0,57,105000,770,18,5,1
1,62,115000,790,20,5,1
0,67,125000,810,22,5,1
1,72,135000,830,25,5,1
0,77,145000,850,28,5,1
1,82,155000,870,30,5,1
0,87,165000,890,32,5,1
1,92,175000,910,35,5,1
0,97,185000,930,38,5,1
1,102,195000,950,40,5,1
0,107,205000,970,42,5,1
1,112,215000,990,45,5,1
0,117,225000,1010,48,5,1
1,122,235000,1030,50,5,1
0,127,245000,1050,52,5,1
1,132,255000,1070,55,5,1
0,137,265000,1090,58,5,1
1,142,275000,1110,60,5,1
0,147,285000,1130,62,5,1
1,152,295000,1150,65,5,1
0,157,305000,1170,68,5,1
1,162,315000,1190,70,5,1
0,167,325000,1210,72,5,1
