protected_attribute,age,income,credit_score,employment_years,education_level,label
1,24,38000,640,2,2,0
0,29,48000,670,4,3,1
1,34,58000,690,6,4,1
0,39,68000,710,8,4,1
1,44,78000,730,10,5,1
0,49,88000,750,12,5,1
1,54,98000,770,14,5,1
0,59,108000,790,16,5,1
1,64,118000,810,18,5,1
0,69,128000,830,20,5,1
1,74,138000,850,22,5,1
0,79,148000,870,24,5,1
1,84,158000,890,26,5,1
0,89,168000,910,28,5,1
1,94,178000,930,30,5,1
0,99,188000,950,32,5,1
1,104,198000,970,34,5,1
0,109,208000,990,36,5,1
1,114,218000,1010,38,5,1
0,119,228000,1030,40,5,1
1,124,238000,1050,42,5,1
0,129,248000,1070,44,5,1
1,134,258000,1090,46,5,1
0,139,268000,1110,48,5,1
1,144,278000,1130,50,5,1
0,149,288000,1150,52,5,1
1,154,298000,1170,54,5,1
0,159,308000,1190,56,5,1
1,164,318000,1210,58,5,1
0,169,328000,1230,60,5,1
1,174,338000,1250,62,5,1
